Account,**** 4412,Statement Period,11/01/2026 - 11/30/2026
Posting Date,Transaction Date,Description,Debit,Credit,Balance
11/02/2026,11/01/2026,PAYROLL DEPOSIT ACME CORP,,3200.00,11095.88
11/04/2026,11/03/2026,WHOLE FOODS MARKET #412,92.15,,11003.73
11/06/2026,11/05/2026,SHELL OIL 57422,51.30,,10952.43
11/09/2026,11/09/2026,BLUE RIDGE DENTAL ASSOC 88,145.00,,10807.43
11/12/2026,11/12/2026,CITY POWER & LIGHT,131.40,,10676.03
11/14/2026,11/13/2026,HARBOR POINT VETERINARY,64.00,,10612.03
11/17/2026,11/16/2026,WHOLE FOODS MARKET #412,78.60,,10533.43
11/19/2026,11/19/2026,SUMMIT RIDGE CLIMBING GYM,89.00,,10444.43
11/23/2026,11/23/2026,ONLINE XFER TO SAVINGS,500.00,,9944.43
11/25/2026,11/24/2026,SHELL OIL 57422,46.85,,9897.58
